feature,missing_rate
hip_adduction_peak,0.0
ankle_adduction_peak_timing,0.0
knee_flexion_peak,0.0
knee_flexion_min,0.0
knee_flexion_ROM,0.0
knee_flexion_IC_angle,0.0
knee_flexion_peak_timing,0.0
ankle_adduction_peak,0.0
ankle_adduction_min,0.0
ankle_adduction_ROM,0.0
ankle_adduction_IC_angle,0.0
ankle_int_rotation_peak,0.0
hip_adduction_min,0.0
ankle_int_rotation_min,0.0
ankle_int_rotation_ROM,0.0
ankle_int_rotation_IC_angle,0.0
ankle_int_rotation_peak_timing,0.0
ankle_dorsiflexion_peak,0.0
ankle_dorsiflexion_min,0.0
ankle_dorsiflexion_ROM,0.0
ankle_dorsiflexion_IC_angle,0.0
ankle_dorsiflexion_peak_timing,0.0
knee_int_rotation_peak_timing,0.0
knee_int_rotation_IC_angle,0.0
knee_int_rotation_ROM,0.0
knee_int_rotation_min,0.0
hip_adduction_ROM,0.0
hip_adduction_IC_angle,0.0
hip_adduction_peak_timing,0.0
hip_int_rotation_peak,0.0
hip_int_rotation_min,0.0
hip_int_rotation_ROM,0.0
hip_int_rotation_IC_angle,0.0
hip_int_rotation_peak_timing,0.0
hip_flexion_peak,0.0
hip_flexion_min,0.0
hip_flexion_ROM,0.0
hip_flexion_IC_angle,0.0
hip_flexion_peak_timing,0.0
knee_adduction_peak,0.0
knee_adduction_min,0.0
knee_adduction_ROM,0.0
knee_adduction_IC_angle,0.0
knee_adduction_peak_timing,0.0
knee_int_rotation_peak,0.0
speed,0.0
