feature,importance,abs_importance
hip_adduction_peak,0.12085797854461235,0.12085797854461235
hip_adduction_min,0.0995284599389793,0.0995284599389793
hip_adduction_ROM,0.06742571678196162,0.06742571678196162
ankle_dorsiflexion_peak_timing,0.06541779802967651,0.06541779802967651
ankle_dorsiflexion_IC_angle,0.06487815114875152,0.06487815114875152
knee_flexion_ROM,0.04554331344425118,0.04554331344425118
hip_flexion_min,0.04119065197869251,0.04119065197869251
hip_flexion_peak,0.03982202935097361,0.03982202935097361
ankle_int_rotation_ROM,0.03940469926487761,0.03940469926487761
ankle_int_rotation_min,0.032940694434674934,0.032940694434674934
hip_flexion_IC_angle,0.03287205602186173,0.03287205602186173
knee_flexion_IC_angle,0.028653758926507414,0.028653758926507414
ankle_adduction_min,0.0278234278710201,0.0278234278710201
hip_flexion_ROM,0.026623449618084154,0.026623449618084154
knee_flexion_peak,0.02609764410025115,0.02609764410025115
hip_adduction_IC_angle,0.025599368648468603,0.025599368648468603
knee_adduction_peak,0.023902431205870274,0.023902431205870274
ankle_int_rotation_IC_angle,0.019962965844793963,0.019962965844793963
ankle_adduction_ROM,0.018413945097098764,0.018413945097098764
knee_int_rotation_ROM,0.018070146496143028,0.018070146496143028
ankle_dorsiflexion_ROM,0.017320154516877462,0.017320154516877462
knee_flexion_min,0.01701119494726087,0.01701119494726087
knee_int_rotation_peak,0.01623902064305881,0.01623902064305881
knee_int_rotation_peak_timing,0.01491189476393618,0.01491189476393618
hip_int_rotation_peak,0.01463123303499459,0.01463123303499459
knee_adduction_ROM,0.014008067549078114,0.014008067549078114
knee_int_rotation_IC_angle,0.013243657234126578,0.013243657234126578
knee_adduction_min,0.012758504055119052,0.012758504055119052
hip_int_rotation_IC_angle,0.01165879401490486,0.01165879401490486
ankle_int_rotation_peak_timing,0.0031887924930933185,0.0031887924930933185
