condition,model,auc,ci_lo,ci_hi,fold_auc_mean,fold_auc_std
all_speeds,catboost,0.9467,0.8773,0.9956,0.9855,0.0178
all_speeds,xgboost,0.9385,0.8815,0.9845,0.9673,0.0405
all_speeds,gbt,0.9296,0.8451,0.9864,0.96,0.0405
all_speeds,rf,0.9267,0.8644,0.9742,0.9673,0.0353
all_speeds,lightgbm,0.8963,0.8178,0.9645,0.9455,0.0539
all_speeds,logreg,0.7652,0.6138,0.8999,0.8978,0.0599
all_speeds,svm_rbf,0.6267,0.4916,0.7497,0.4582,0.384
fast_only,rf,0.8511,0.744,0.9417,0.9411,0.0554
fast_only,lightgbm,0.8511,0.7514,0.9307,0.9367,0.038
fast_only,xgboost,0.8422,0.74,0.9238,0.9364,0.0335
fast_only,logreg,0.8407,0.7274,0.9326,0.8898,0.0798
fast_only,gbt,0.8281,0.729,0.913,0.9185,0.0481
fast_only,catboost,0.7978,0.677,0.9106,0.9051,0.0789
fast_only,svm_rbf,0.7415,0.6253,0.8593,0.7571,0.2449
normal_only,logreg,0.8341,0.7271,0.921,0.8851,0.0645
normal_only,gbt,0.8274,0.7011,0.9247,0.8705,0.1156
normal_only,catboost,0.8207,0.688,0.9297,0.8513,0.0287
normal_only,lightgbm,0.8126,0.6937,0.9145,0.8229,0.098
normal_only,xgboost,0.7896,0.6567,0.9048,0.8298,0.1057
normal_only,rf,0.7719,0.639,0.8849,0.8044,0.1147
normal_only,svm_rbf,0.557,0.4219,0.6966,0.3331,0.3137
slow_only,xgboost,0.8926,0.8169,0.9557,0.8967,0.0326
slow_only,lightgbm,0.8881,0.8174,0.9531,0.9105,0.0368
slow_only,gbt,0.8489,0.7337,0.949,0.8622,0.0532
slow_only,catboost,0.8274,0.7228,0.9211,0.8713,0.0628
slow_only,rf,0.8259,0.7272,0.92,0.8524,0.0563
slow_only,logreg,0.82,0.7114,0.9137,0.8345,0.0949
slow_only,svm_rbf,0.7319,0.6102,0.8433,0.7025,0.2861
