feature_set,model,auc,ci_lo,ci_hi,fold_auc_mean,fold_auc_std,pca_dims_mean
A_unilateral,catboost,0.7114,0.6473,0.7794,0.7536,0.0859,27.8
A_unilateral,lightgbm,0.6987,0.6303,0.7637,0.7086,0.0613,27.8
A_unilateral,xgboost,0.6943,0.6283,0.7569,0.7075,0.0816,27.8
A_unilateral,rf,0.6784,0.6083,0.7451,0.693,0.0882,27.8
A_unilateral,gbt,0.6449,0.5754,0.7165,0.6665,0.0857,27.8
A_unilateral,svm_rbf,0.6283,0.5521,0.703,0.5465,0.2834,27.8
A_unilateral,logreg,0.5996,0.5265,0.6719,0.6345,0.0661,27.8
B_bilateral_asym,gbt,0.7661,0.6939,0.8303,0.7749,0.0679,28.6
B_bilateral_asym,rf,0.7533,0.6806,0.822,0.7728,0.0741,28.6
B_bilateral_asym,xgboost,0.7358,0.6576,0.8053,0.7464,0.0836,28.6
B_bilateral_asym,logreg,0.7342,0.6636,0.8009,0.7508,0.0938,28.6
B_bilateral_asym,catboost,0.733,0.6545,0.8036,0.741,0.0969,28.6
B_bilateral_asym,lightgbm,0.7313,0.6518,0.8033,0.74,0.0885,28.6
B_bilateral_asym,svm_rbf,0.5679,0.4884,0.6517,0.5808,0.2253,28.6
C_speed_delta,logreg,0.8467,0.7544,0.9326,0.8571,0.0847,33.6
C_speed_delta,svm_rbf,0.8267,0.729,0.9094,0.756,0.2778,33.6
C_speed_delta,rf,0.7881,0.6683,0.8884,0.7927,0.1064,33.6
C_speed_delta,gbt,0.78,0.6606,0.8953,0.8084,0.1214,33.6
C_speed_delta,xgboost,0.7793,0.6563,0.8798,0.7629,0.1331,33.6
C_speed_delta,lightgbm,0.777,0.6599,0.8789,0.7931,0.1119,33.6
C_speed_delta,catboost,0.7496,0.6155,0.8713,0.7935,0.1469,33.6
D_multi_speed_bilateral,xgboost,0.7852,0.6589,0.8841,0.8033,0.0999,31.8
D_multi_speed_bilateral,catboost,0.7763,0.6468,0.8832,0.8393,0.1477,31.8
D_multi_speed_bilateral,lightgbm,0.77,0.6412,0.8704,0.7407,0.1149,31.8
D_multi_speed_bilateral,rf,0.7452,0.6127,0.8546,0.8098,0.1372,31.8
D_multi_speed_bilateral,logreg,0.7356,0.5972,0.8544,0.8142,0.107,31.8
D_multi_speed_bilateral,gbt,0.7178,0.5797,0.8358,0.7858,0.0959,31.8
D_multi_speed_bilateral,svm_rbf,0.6215,0.4953,0.7453,0.5073,0.3574,31.8
