cluster_a,cluster_b,distance,sample_count
37.0,64.0,66.54916306959396,2.0
29.0,56.0,72.13542789262196,2.0
26.0,53.0,78.37785167973973,2.0
45.0,72.0,81.15774211957519,2.0
46.0,73.0,82.04596275893512,2.0
25.0,52.0,83.61744960499628,2.0
16.0,23.0,86.3796573120567,2.0
18.0,47.0,86.7844438498276,2.0
32.0,59.0,89.2375847150351,2.0
33.0,60.0,92.87792691798278,2.0
35.0,62.0,93.25722708806687,2.0
14.0,85.0,95.83560309934886,3.0
50.0,77.0,96.89869188425003,2.0
10.0,86.0,97.44572487985768,3.0
34.0,61.0,97.84055619665038,2.0
12.0,92.0,98.140861409213,4.0
58.0,76.0,98.85036140410935,2.0
41.0,68.0,100.09540306529627,2.0
51.0,78.0,101.26927649048812,2.0
21.0,28.0,104.03595656087404,2.0
2.0,9.0,104.83622687249928,2.0
15.0,22.0,108.19704011679755,2.0
27.0,40.0,108.93848721022573,2.0
4.0,36.0,108.99293754003698,2.0
24.0,94.0,111.33800986923498,5.0
88.0,100.0,112.81486416091188,4.0
55.0,102.0,112.93509158905908,3.0
48.0,75.0,115.32962383385082,2.0
84.0,89.0,116.19461868218347,4.0
44.0,71.0,118.12430877195025,2.0
30.0,57.0,118.24414376522425,2.0
6.0,80.0,118.61913323462453,3.0
3.0,11.0,119.1357597215457,2.0
98.0,99.0,119.69625929684074,4.0
31.0,39.0,119.97357179587577,2.0
13.0,87.0,121.58533746907344,3.0
83.0,91.0,121.97374205915158,4.0
8.0,104.0,124.53945152361169,5.0
42.0,110.0,124.89198313561627,4.0
90.0,101.0,125.95597286688624,5.0
5.0,107.0,127.22814084191117,5.0
0.0,82.0,127.62249600336435,3.0
79.0,105.0,127.76775504515058,5.0
7.0,54.0,132.59500958807342,2.0
38.0,96.0,135.3539467328284,3.0
103.0,111.0,135.4364655934549,7.0
81.0,116.0,135.5099611845233,7.0
74.0,108.0,138.43051505813182,3.0
67.0,93.0,138.85721914988952,3.0
43.0,70.0,140.50701180289096,2.0
95.0,124.0,141.35896072257782,9.0
1.0,121.0,142.82581447970503,6.0
19.0,97.0,143.99297997160429,3.0
118.0,120.0,144.6192719501552,8.0
17.0,126.0,150.20647002023864,4.0
113.0,122.0,152.80258425629788,4.0
114.0,134.0,155.35177227070173,7.0
112.0,117.0,155.81526642488691,8.0
115.0,127.0,158.66726460836367,7.0
63.0,66.0,159.03079878683607,2.0
119.0,130.0,162.86933432150184,11.0
20.0,132.0,163.53419257271008,9.0
69.0,133.0,170.16323508632198,5.0
65.0,123.0,171.17712520985154,4.0
135.0,137.0,182.65985945411947,14.0
129.0,139.0,183.69571095845808,20.0
136.0,140.0,183.930946334617,17.0
106.0,142.0,190.16208643101626,6.0
138.0,141.0,191.149156756025,7.0
128.0,131.0,196.53171179180728,5.0
143.0,145.0,205.32588997340966,31.0
125.0,146.0,216.20447784150886,13.0
109.0,147.0,224.92205522012412,9.0
148.0,151.0,238.52999554324103,14.0
144.0,149.0,242.5700288219102,51.0
150.0,152.0,289.8036065809684,27.0
49.0,154.0,316.9161594958477,28.0
153.0,155.0,341.20755092205974,79.0
