component,explained_variance_ratio,cumulative_explained_variance_ratio
PC1,0.11254264888665999,0.11254264888665999
PC2,0.09716089129958262,0.2097035401862426
PC3,0.0713761848184048,0.2810797250046474
PC4,0.05604728285212564,0.337127007856773
PC5,0.046841234809360706,0.3839682426661337
PC6,0.0438030975469218,0.4277713402130555
PC7,0.04266938680307641,0.47044072701613193
PC8,0.037402721045726804,0.5078434480618588
PC9,0.03540922618810953,0.5432526742499683
PC10,0.02936704443974058,0.5726197186897088
