feature,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
slow__hip_adduction_000__mean,0.0033926329631287842,0.01663964436235614,-0.005855609955284572,0.008861088719986249,0.004019496067912449,-0.0005112604669467132,0.007293224429186444,0.016392389225327996,-0.005875388132827579,0.025386511216041515
slow__hip_adduction_000__std,0.004579559972119265,0.013469697602364864,0.0034675772660091014,-0.00270740548839982,0.010159411390498932,0.00539626283253617,-0.001251267370561333,-0.007087754059774182,0.02092824231754252,0.016837324797817663
slow__hip_adduction_000__min,-0.0035862732763667702,-0.010180658582318595,-0.011376314643410823,0.024654763588644886,-0.0013714135552410657,-0.009445615987472768,0.00600988281097922,0.007367810411371521,-0.02187580355457303,0.0028069086138718985
slow__hip_adduction_000__max,0.004951858032896925,0.019751050670796938,-0.0008967978252528136,0.0017469393825016632,0.010225758988267374,0.0025101604955096125,0.0040328644634822705,0.008089885807977022,0.008803528947756557,0.025194835273779456
slow__hip_adduction_001__mean,0.0033102922500360663,0.0171727848122963,-0.007035627600382896,0.00883842769556108,0.003910251015320277,-0.00047175418511714704,0.008351918682841837,0.01682636866974007,-0.006356911781010181,0.02329513644605303
slow__hip_adduction_001__std,0.0047893058755985,0.013417950042440445,0.0032497151967173913,-0.0024776348395005583,0.010508513903495933,0.0054633270682725825,-0.0012733749095614649,-0.006609121099868748,0.020652365022591462,0.017894088649855814
slow__hip_adduction_001__min,-0.0037082070927010745,-0.00974978857489521,-0.011870802423633843,0.024411144998717715,-0.0014959556686996614,-0.009525635790556188,0.006474793140455616,0.0075194738939020666,-0.022369815644625403,0.0015382625356072056
slow__hip_adduction_001__max,0.0050952416850156895,0.01991888408600877,-0.0017877063956174262,0.0023437944332297365,0.010216688724988003,0.0027411357910917117,0.004465234006487848,0.008884069328428857,0.00811564527874334,0.024095795133960964
slow__hip_adduction_002__mean,0.0032364743167412977,0.017646335310189547,-0.008302812388073334,0.008515357511549302,0.003721518732657873,-0.0006211806516882349,0.009542699177542555,0.017203102887864138,-0.0067886582298834946,0.02099957010668785
slow__hip_adduction_002__std,0.004897885936151804,0.013490136565589747,0.003092654784091877,-0.0023511075574741427,0.01062965404974326,0.0054432645023578625,-0.001268926090556158,-0.005943915617593567,0.020494561190062602,0.01878948448172173
slow__hip_adduction_002__min,-0.003697727299762269,-0.009255242011082153,-0.012410834324126936,0.024147783850075766,-0.0015751946130257996,-0.009668121504769433,0.006971824908634423,0.007643602532297145,-0.022706615479323008,0.00037627305473238225
slow__hip_adduction_002__max,0.00512629953954392,0.020060004560349474,-0.0028156921885930625,0.0029344558941251935,0.010018733763265782,0.002668683990537248,0.005175730807535534,0.009829102224202146,0.007431612315693864,0.023001323315339755
slow__hip_adduction_003__mean,0.0032788380334071387,0.0180004760019665,-0.009598928445831387,0.007959763309083505,0.003399272011279287,-0.0009602556096428829,0.010765473038650539,0.017523144300264623,-0.00706123040240953,0.01857129763523988
slow__hip_adduction_003__std,0.004908118927777345,0.013642767949488568,0.003029045992404781,-0.0022167478767925962,0.010459816887381623,0.005317760785694398,-0.0011916325584112855,-0.005143350615905782,0.020418688419112974,0.019424929686796554
slow__hip_adduction_003__min,-0.0035405792864963447,-0.00881332216872391,-0.013034707800133386,0.023806590228202272,-0.0015420578024805233,-0.009762004813984617,0.007302135172694988,0.007600069480603346,-0.023034867466182184,-0.0004108684461457694
slow__hip_adduction_003__max,0.005056488278749026,0.02011284209348583,-0.004104329124967852,0.0035444119552869796,0.009635159823548112,0.0019286940747814479,0.0063288280326894986,0.010599907371234561,0.006718962415340653,0.021937183005541632
slow__hip_adduction_004__mean,0.003452906462493741,0.01820368958563779,-0.010776143660902788,0.007418666210697105,0.002912175054544134,-0.0013380378700058734,0.011795141218987948,0.017772464331705515,-0.007054824388039657,0.016064352176610012
slow__hip_adduction_004__std,0.00486835634975498,0.013856167386999695,0.0030619083557964478,-0.0019287350037106932,0.010021024108408175,0.005191964395620495,-0.0010920359535029,-0.004322990829405412,0.02026444957980211,0.01976469290382344
slow__hip_adduction_004__min,-0.0032326086625650307,-0.00845812030997668,-0.01377351991171406,0.02343775904362801,-0.0014086192739864276,-0.009925949916692718,0.007661202247512764,0.007536270735148405,-0.023226992347174708,-0.0011227153016304277
slow__hip_adduction_004__max,0.005189665153273102,0.020029219564221257,-0.005664351375025849,0.004432412118305353,0.008685488837509553,0.0010973806128983068,0.007453739704377367,0.011052670645099086,0.005824191468012164,0.020628322251890797
slow__hip_adduction_005__mean,0.0037349566560241584,0.01829284014508495,-0.011712145793096193,0.0070966269071645665,0.0022704122685934993,-0.0015246758397464207,0.012541769343051817,0.017909230892816607,-0.006742122808933338,0.01357631568236657
slow__hip_adduction_005__std,0.004847664397922258,0.014097542458666259,0.0030925437045376714,-0.0015264289424886015,0.009430940773930615,0.005183994988015805,-0.0010516078373063943,-0.003624184970592813,0.019961309755199688,0.01977711681929064
slow__hip_adduction_005__min,-0.002917721660118241,-0.008066021207619126,-0.014595652966139608,0.022935089556736697,-0.001330148633079259,-0.010006403663835426,0.00812656758607112,0.007344004687980021,-0.023321369654273512,-0.0019427248024543307
