cluster_a,cluster_b,distance,sample_count
29.0,56.0,55.63653481067123,2.0
11.0,18.0,58.02206485748441,2.0
25.0,52.0,60.644889352226635,2.0
22.0,79.0,65.37894988883039,3.0
34.0,61.0,65.53809417726596,2.0
33.0,60.0,70.70540620776733,2.0
21.0,42.0,74.79940024286674,2.0
38.0,41.0,75.39331848709696,2.0
30.0,57.0,76.47827355181487,2.0
23.0,26.0,77.69411969130516,2.0
50.0,76.0,78.59565350645306,2.0
5.0,9.0,81.43015056888001,2.0
54.0,75.0,81.8011238335373,2.0
17.0,24.0,81.83613797125001,2.0
35.0,36.0,82.2598792021074,2.0
84.0,87.0,83.0730177408124,4.0
51.0,88.0,83.08476029104453,3.0
8.0,12.0,83.42823250917893,2.0
27.0,90.0,84.98262361310829,3.0
28.0,55.0,85.86314970727433,2.0
1.0,10.0,87.21294097471704,2.0
0.0,20.0,87.67601613240147,2.0
78.0,82.0,88.0059785059333,4.0
81.0,98.0,90.95296786627146,5.0
15.0,95.0,93.70969545762946,3.0
32.0,100.0,93.79546575457108,5.0
59.0,92.0,94.29135370953735,3.0
40.0,80.0,94.77816042848843,3.0
83.0,93.0,95.80410934861617,6.0
4.0,7.0,95.8058410887083,2.0
62.0,85.0,95.82671092855118,3.0
48.0,74.0,95.89435721113813,2.0
72.0,103.0,96.83225396935359,6.0
94.0,99.0,97.47951782285402,5.0
2.0,106.0,98.15553680184419,7.0
91.0,101.0,99.09483122139675,7.0
44.0,46.0,99.815730882864,2.0
67.0,105.0,99.98300928574078,4.0
43.0,96.0,101.54700497722258,4.0
97.0,114.0,102.33907976818813,4.0
102.0,107.0,103.80537870288447,5.0
13.0,16.0,104.38881603152436,2.0
65.0,86.0,106.68620627799763,3.0
14.0,113.0,107.2044791834457,8.0
39.0,66.0,107.55651827152676,2.0
70.0,73.0,107.93558632461874,2.0
6.0,89.0,108.89972214270459,3.0
58.0,104.0,109.86779553324881,4.0
111.0,117.0,111.82409582160885,9.0
108.0,110.0,112.24628205002652,9.0
63.0,77.0,112.3067955024058,2.0
31.0,47.0,113.37807527801532,2.0
37.0,64.0,114.48505459878024,2.0
115.0,116.0,114.91638177016938,8.0
119.0,124.0,119.32523698320611,5.0
112.0,127.0,120.95843769090824,16.0
69.0,109.0,121.5803557664185,3.0
3.0,118.0,129.0223358571526,6.0
126.0,129.0,129.60161654211157,11.0
19.0,128.0,130.47612133937403,3.0
45.0,125.0,133.16717269625255,5.0
120.0,131.0,134.21352970555517,11.0
123.0,134.0,135.17349600158389,5.0
68.0,136.0,135.46531425309794,12.0
53.0,121.0,136.5866379842514,9.0
132.0,135.0,137.34644262867232,11.0
138.0,141.0,146.22835221015168,17.0
122.0,139.0,148.54138415180626,13.0
133.0,145.0,156.5119147011788,29.0
71.0,140.0,162.81558769839745,6.0
142.0,143.0,165.54106859431832,20.0
137.0,144.0,172.52792739113366,20.0
130.0,149.0,187.9490600232672,22.0
147.0,148.0,243.18004871011732,26.0
150.0,151.0,245.81827880195692,48.0
146.0,152.0,272.7761560844538,77.0
49.0,153.0,279.29702838153054,78.0
