component,explained_variance_ratio,cumulative_explained_variance_ratio
PC1,0.1101490612300968,0.1101490612300968
PC2,0.0887924950928042,0.198941556322901
PC3,0.07188690106251162,0.2708284573854126
PC4,0.05571857537043969,0.3265470327558523
PC5,0.04573732928623457,0.37228436204208687
PC6,0.040649172576487876,0.41293353461857474
PC7,0.03492281606215915,0.4478563506807339
PC8,0.03058660035401232,0.4784429510347462
PC9,0.02803119460006214,0.5064741456348083
PC10,0.02506547345881392,0.5315396190936222
