cluster_a,cluster_b,distance,sample_count
37.0,64.0,8.183334952123891,2.0
29.0,56.0,9.867708998132787,2.0
11.0,18.0,11.290931772141544,2.0
33.0,60.0,11.655535497237278,2.0
10.0,81.0,11.700918578480549,3.0
46.0,73.0,11.79148442284221,2.0
50.0,77.0,12.307443338165987,2.0
48.0,75.0,12.373642476530383,2.0
41.0,68.0,12.42570968460152,2.0
16.0,21.0,12.51361949039993,2.0
12.0,83.0,12.660666718105288,4.0
25.0,52.0,12.80630703306297,2.0
32.0,59.0,12.844771573155588,2.0
23.0,35.0,13.024454285455512,2.0
8.0,22.0,13.371350875042445,2.0
14.0,15.0,13.51868677110552,2.0
47.0,74.0,13.588536935153877,2.0
4.0,89.0,13.860758905314352,5.0
24.0,93.0,13.888632608727136,3.0
2.0,9.0,14.273073050655421,2.0
36.0,63.0,14.62219611875362,2.0
27.0,70.0,14.715520031883958,2.0
34.0,61.0,14.728428459918527,2.0
3.0,92.0,14.960145761102316,3.0
26.0,94.0,15.189276489595674,3.0
44.0,71.0,15.260002225256498,2.0
45.0,72.0,15.26207895035375,2.0
80.0,90.0,15.486336066438321,4.0
17.0,96.0,15.923609176498633,6.0
55.0,62.0,15.940968467864552,2.0
6.0,13.0,16.235864975336007,2.0
7.0,102.0,16.473255150313385,4.0
79.0,107.0,16.64703729493297,8.0
0.0,28.0,16.92480516786149,2.0
76.0,103.0,16.989579519677182,4.0
51.0,78.0,17.05045241395034,2.0
5.0,38.0,17.06994957825079,2.0
58.0,87.0,17.111686872209077,3.0
30.0,57.0,17.155447324849153,2.0
88.0,105.0,17.401463589556823,4.0
40.0,67.0,17.426996608287062,2.0
85.0,109.0,17.579170269910545,4.0
99.0,110.0,18.353545493608323,6.0
39.0,115.0,18.49751865551865,3.0
113.0,116.0,19.015587706843593,7.0
53.0,86.0,19.09973851947182,3.0
43.0,100.0,19.75207258189974,3.0
95.0,97.0,19.906128299497947,5.0
20.0,118.0,20.128086995393414,5.0
114.0,120.0,20.249873376898837,6.0
111.0,121.0,20.339457193145044,14.0
82.0,124.0,20.4252046665084,5.0
66.0,104.0,20.521022710504926,3.0
101.0,108.0,20.633923788293384,4.0
42.0,119.0,20.753297080717434,3.0
123.0,126.0,20.92907235569294,12.0
106.0,122.0,21.473469581122803,7.0
54.0,84.0,22.121757788196472,3.0
112.0,132.0,22.1414334963668,6.0
69.0,91.0,23.068318130470104,3.0
19.0,131.0,23.110123559675785,4.0
98.0,127.0,23.528791734411083,7.0
1.0,137.0,25.060970937577576,7.0
65.0,117.0,25.330171827630057,3.0
125.0,133.0,26.047023975619137,6.0
128.0,138.0,26.082948700988343,9.0
135.0,143.0,27.27896996442555,13.0
31.0,144.0,28.054517793452646,10.0
136.0,140.0,28.4054638847432,10.0
129.0,141.0,29.216465097919976,21.0
145.0,147.0,29.399625162698314,23.0
139.0,146.0,32.04929040415802,14.0
130.0,134.0,32.198259773223775,17.0
142.0,151.0,34.298968383722766,20.0
148.0,149.0,36.590224623288606,44.0
150.0,153.0,40.505600650658344,58.0
152.0,154.0,45.48186595428567,78.0
49.0,155.0,73.70869844715666,79.0
