component,explained_variance_ratio,cumulative_explained_variance_ratio
PC1,0.15119042791704343,0.15119042791704343
PC2,0.09086747457725737,0.24205790249430081
PC3,0.07941949552719338,0.3214773980214942
PC4,0.062322335551153726,0.38379973357264796
PC5,0.055947592026578584,0.4397473255992265
PC6,0.05044306871179071,0.49019039431101724
PC7,0.04539485910526044,0.5355852534162777
PC8,0.037392280628902305,0.57297753404518
PC9,0.03344020690826665,0.6064177409534467
PC10,0.03241428426470678,0.6388320252181535
