feature_raw,feature_description,speed,side,statistic,source_column,feature_category,cycle_point,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
slow__footContacts_0__mean,Foot contact signal 0,slow,,mean,footContacts_0,foot contact,,-0.001631159512000337,0.012442966001357325,-0.009932401301715426,0.07887220389426099,-0.0641675833622507,0.05997157118993115,-0.1640815963970597,0.005039142018463271,0.048244864075382615,0.10939872951069868
slow__footContacts_0__std,Foot contact signal 0,slow,,std,footContacts_0,foot contact,,0.006655632182059235,0.017323886418158907,0.006512797007053807,-0.0036980443029833174,-0.02441722964427916,0.019211357123201288,-0.099688429381474,-0.08827242394708847,-0.0053291743379390915,0.07278512208038532
slow__footContacts_1__mean,Foot contact signal 1,slow,,mean,footContacts_1,foot contact,,-0.008906795556080739,-0.03717448204602005,-0.030425235266190846,-0.15130883670315576,-0.034166094343347095,-0.0662212304265987,0.025468346472843236,-0.13189304296969195,0.03640570551474078,0.017180383204170535
slow__footContacts_1__std,Foot contact signal 1,slow,,std,footContacts_1,foot contact,,0.0003021879612130449,-0.0028246599106003184,-0.02195304255575233,-0.12080655622107593,0.0010069251909098954,-0.07766629042974303,0.0240146495601249,-0.17921747064522553,0.02164290487256641,-0.002448594455868414
slow__footContacts_2__mean,Foot contact signal 2,slow,,mean,footContacts_2,foot contact,,-0.03922533462280649,-0.011632549205245151,0.015367680472268922,0.0412871404124517,-0.10747754999045588,0.11813758542972547,-0.09503095227309073,0.011594281757500787,0.08882268711927743,0.07074240822322936
slow__footContacts_2__std,Foot contact signal 2,slow,,std,footContacts_2,foot contact,,-0.03952957681822572,-0.03291044493814248,0.03340839026847738,-0.021685863658066518,-0.05699979578720708,0.06992403004321582,-0.013405505763496143,-0.014820304000881685,0.08597229432125703,0.050912028621803024
slow__footContacts_3__mean,Foot contact signal 3,slow,,mean,footContacts_3,foot contact,,-0.025583253858340448,-0.0298383911063413,-0.02066727409157937,-0.12739133686456922,0.026679730607598675,-0.0635045658562692,0.0684133053170833,-0.0863515113864407,0.05755167909186669,0.015666232908349984
slow__footContacts_3__std,Foot contact signal 3,slow,,std,footContacts_3,foot contact,,-0.008481626498576075,-0.049093633542778854,-0.02247966661908901,-0.09899500374429566,0.06110293782917554,-0.06433467273151278,0.039015207200485576,-0.11638059248401614,0.061873484039148004,0.022376719760835887
slow__jointAngle_42__mean,Right hip adduction,slow,Right,mean,jointAngle_42,joint angle,,0.07725101367247478,-0.06508677606028823,-0.04372160505542348,0.10477062834011458,-0.043313309347524774,-0.013374569003433085,0.044817738623831614,-0.0974517565985073,0.017693762592390642,0.0035059215492110967
slow__jointAngle_42__std,Right hip adduction,slow,Right,std,jointAngle_42,joint angle,,0.0965076238225395,-0.04351755182985949,0.0700972225984247,0.04772764796761927,-0.004650862593301614,-0.008718808260046538,-0.005475758565298505,0.0074869569626834255,0.12450190188890635,-0.10649965855561781
slow__jointAngle_42__min,Right hip adduction,slow,Right,min,jointAngle_42,joint angle,,-0.15245865095042466,-0.031584751380664085,0.011603970186719496,0.04322941071630499,-0.03399720653175173,0.004132439606149977,0.0358071244173237,-0.02307422939560981,-0.01516719351712483,0.04195062364194604
slow__jointAngle_42__max,Right hip adduction,slow,Right,max,jointAngle_42,joint angle,,0.13923681548699918,-0.03311524010206666,-0.023671934721189867,0.06303146537680407,0.0030673753516150255,-0.013305254262643394,-0.015410691127660407,-0.004262300861827327,0.05197466140110567,-0.029853668964963453
slow__jointAngle_43__mean,Right hip internal rotation,slow,Right,mean,jointAngle_43,joint angle,,-0.004552400479260504,0.11419297735927345,0.09992547914016503,-0.035599811881862675,0.08852837175019913,0.028694703407961798,0.014824057458078117,-0.10562722569904917,-0.052524657155759276,0.08176082473286354
slow__jointAngle_43__std,Right hip internal rotation,slow,Right,std,jointAngle_43,joint angle,,0.13739321535791202,-0.02761516847224621,-0.03012356837843618,-0.055588878819618666,0.011023394563384825,0.021400492706488118,-0.04200604015382887,-0.03491770514050286,-0.04893195628903871,-0.044163741787838585
slow__jointAngle_43__min,Right hip internal rotation,slow,Right,min,jointAngle_43,joint angle,,-0.15370269648218093,0.015220785080862028,0.05969822613113215,0.02499078813883582,-0.01036088457635751,0.0048324889872169135,0.030848214552204548,-0.02120473411765693,0.0017385951508622937,0.035501957510230046
slow__jointAngle_43__max,Right hip internal rotation,slow,Right,max,jointAngle_43,joint angle,,0.15306775363583675,0.04499693896873167,-0.023533036864151768,-0.028024393011637127,0.04251726036262067,-0.0010493068452995912,-0.02185316799452557,-0.03633272228100599,-0.015113400097387333,0.0082813525524707
slow__jointAngle_44__mean,Right hip flexion,slow,Right,mean,jointAngle_44,joint angle,,0.008137976563950955,0.0992843380670146,0.10395740114962852,0.0420929714551866,-0.11116710992920979,-0.0134369217729877,0.043127654775973884,-0.04906820697328567,0.039022434066975344,-0.12120839124019794
slow__jointAngle_44__std,Right hip flexion,slow,Right,std,jointAngle_44,joint angle,,0.03680166299389049,0.0699577060779042,0.005036171104847725,-0.07830091859416975,-0.06904658477026752,0.09143284905286463,0.03169356026555488,0.00833726044911885,-0.061026268733012715,-0.018776618801984613
slow__jointAngle_44__min,Right hip flexion,slow,Right,min,jointAngle_44,joint angle,,-0.1217781291257715,0.020890385327938216,0.09244001402365751,0.06254796473381362,-0.0646563661375184,-0.03536285130815705,0.044211990922021945,-0.010375822002691323,0.032006809974461016,-0.058087898325215395
slow__jointAngle_44__max,Right hip flexion,slow,Right,max,jointAngle_44,joint angle,,0.03404702533177689,0.09560576036967638,0.08847680829440878,-0.0044006148764561374,-0.1192112365227407,0.05421800401549516,0.048347649960935955,-0.019543759307845222,-0.032119397769015505,-0.10095627364462822
slow__jointAngle_45__mean,Right knee adduction,slow,Right,mean,jointAngle_45,joint angle,,-0.048517023171159204,-0.060300400400268954,-0.1017065492034776,-0.05985675609463023,-0.04054023355714423,0.09544071695631012,0.010785880462577845,0.03479899641644306,-0.09861861457009664,0.012346111739850332
slow__jointAngle_45__std,Right knee adduction,slow,Right,std,jointAngle_45,joint angle,,0.0589015541976431,-0.02987642158266169,-0.025910640129698063,-0.05047909735389774,0.00641532194086289,-0.05349601279145347,0.0034178424143995654,0.1002141444351622,-0.0722597935937379,-0.0011934706325169343
