task,feature_set,method,fold,group_a,group_b,centroid_distance,within_scatter,distance_within_ratio
binary_acl_vs_ha,scalar_pivot,pca,1,ACL,HA,14.348870368105219,11.255489298642773,1.274833104753203
binary_acl_vs_ha,scalar_pivot,pca,2,ACL,HA,6.871971636098739,4.639990069873423,1.4810315394244378
binary_acl_vs_ha,scalar_pivot,pca,3,ACL,HA,3.559651874289695,3.010753993232565,1.1823124314676383
binary_acl_vs_ha,scalar_pivot,pca,4,ACL,HA,8.002101449158854,4.01098432321544,1.9950468025623946
binary_acl_vs_ha,scalar_pivot,pca,5,ACL,HA,7.088739692189807,3.535829223253501,2.0048309023440583
binary_acl_vs_ha,scalar_pivot,lda,1,ACL,HA,272.47875783853243,140.13000339316096,1.9444712141627676
binary_acl_vs_ha,scalar_pivot,lda,2,ACL,HA,4.225220164777879,2.8738970835544366,1.4702058013685464
binary_acl_vs_ha,scalar_pivot,lda,3,ACL,HA,1.532925586476471,1.6947870486711527,0.9044945131474813
binary_acl_vs_ha,scalar_pivot,lda,4,ACL,HA,5.078199159773338,1.3324297480990521,3.811232199685043
binary_acl_vs_ha,scalar_pivot,lda,5,ACL,HA,1.4027612965294503,2.032655471512646,0.6901126709316627
binary_acl_vs_ha,scalar_pivot,plsda,1,ACL,HA,104.79997424940302,56.158815855527756,1.8661357554085158
binary_acl_vs_ha,scalar_pivot,plsda,2,ACL,HA,6.193994637999778,4.039409586650224,1.5333910823181203
binary_acl_vs_ha,scalar_pivot,plsda,3,ACL,HA,2.75266994322405,2.9526493503302955,0.9322711966851482
binary_acl_vs_ha,scalar_pivot,plsda,4,ACL,HA,8.076684837297728,2.8331135080205176,2.850815830157426
binary_acl_vs_ha,scalar_pivot,plsda,5,ACL,HA,6.495154164178199,2.9234823927266462,2.2217182427154487
binary_acl_vs_ha,scalar_pivot,nca,1,ACL,HA,76.15722376277594,44.85913026536467,1.697697287314022
binary_acl_vs_ha,scalar_pivot,nca,2,ACL,HA,9.51552387803381,4.889591462244692,1.9460774896038995
binary_acl_vs_ha,scalar_pivot,nca,3,ACL,HA,3.5691777782203005,3.535281036765153,1.0095881320615359
binary_acl_vs_ha,scalar_pivot,nca,4,ACL,HA,9.38592290901697,4.64161672814856,2.0221236389676682
binary_acl_vs_ha,scalar_pivot,nca,5,ACL,HA,6.3532821316069175,3.5891674926782873,1.770126956896628
binary_acl_vs_ha,scalar_pivot,rf_proba,1,ACL,HA,0.424916215049376,0.10597774913646328,4.009485184500649
binary_acl_vs_ha,scalar_pivot,rf_proba,2,ACL,HA,0.4225394572021502,0.11645229702715787,3.628433856513879
binary_acl_vs_ha,scalar_pivot,rf_proba,3,ACL,HA,0.31729134158301053,0.13577232789795957,2.3369367417893327
binary_acl_vs_ha,scalar_pivot,rf_proba,4,ACL,HA,0.6355550269266234,0.12146561250961913,5.232386465562773
binary_acl_vs_ha,scalar_pivot,rf_proba,5,ACL,HA,0.46228263601952074,0.09136858612370266,5.059535838648556
binary_acl_vs_ha,pca_slim_subject,pca,1,ACL,HA,6.774272914386245,8.508202484053033,0.7962049477646188
binary_acl_vs_ha,pca_slim_subject,pca,2,ACL,HA,2.725597967677839,2.2621718848239416,1.2048589172037933
binary_acl_vs_ha,pca_slim_subject,pca,3,ACL,HA,0.7143589127684087,2.334300258226896,0.3060270032746457
binary_acl_vs_ha,pca_slim_subject,pca,4,ACL,HA,0.6175815600411745,2.4342178661071605,0.2537084164240486
binary_acl_vs_ha,pca_slim_subject,pca,5,ACL,HA,1.2913541267434299,2.4734487775297684,0.5220864642416829
binary_acl_vs_ha,pca_slim_subject,lda,1,ACL,HA,1.5098833857385923,1.2005163921476565,1.2576949349583604
binary_acl_vs_ha,pca_slim_subject,lda,2,ACL,HA,2.2905750963916205,1.3535968735540398,1.6922136428827779
binary_acl_vs_ha,pca_slim_subject,lda,3,ACL,HA,4.268663752421729,1.1321230777807723,3.770494424324707
binary_acl_vs_ha,pca_slim_subject,lda,4,ACL,HA,2.4570077964544628,1.0962074878015764,2.2413711124907074
binary_acl_vs_ha,pca_slim_subject,lda,5,ACL,HA,3.294258760780681,0.8514167320049467,3.8691496619090886
binary_acl_vs_ha,pca_slim_subject,plsda,1,ACL,HA,5.773845329289941,4.0458159156614535,1.4271151850827524
binary_acl_vs_ha,pca_slim_subject,plsda,2,ACL,HA,2.6538658216506326,2.064341008782804,1.2855753048356238
binary_acl_vs_ha,pca_slim_subject,plsda,3,ACL,HA,4.198765619753586,2.3288896761058213,1.8029044753955106
