parquet_column,source_sheet,xlsx_header,body_or_joint,axis_or_component,description
time_ms,metadata,time_ms,time,ms,Frame timestamp in milliseconds
orientation_0,Segment Orientation - Quat,Pelvis q0,Pelvis,q0,Segment Orientation Quaternion - Pelvis q0
orientation_1,Segment Orientation - Quat,Pelvis q1,Pelvis,q1,Segment Orientation Quaternion - Pelvis q1
orientation_2,Segment Orientation - Quat,Pelvis q2,Pelvis,q2,Segment Orientation Quaternion - Pelvis q2
orientation_3,Segment Orientation - Quat,Pelvis q3,Pelvis,q3,Segment Orientation Quaternion - Pelvis q3
orientation_4,Segment Orientation - Quat,L5 q0,L5,q0,Segment Orientation Quaternion - L5 q0
orientation_5,Segment Orientation - Quat,L5 q1,L5,q1,Segment Orientation Quaternion - L5 q1
orientation_6,Segment Orientation - Quat,L5 q2,L5,q2,Segment Orientation Quaternion - L5 q2
orientation_7,Segment Orientation - Quat,L5 q3,L5,q3,Segment Orientation Quaternion - L5 q3
orientation_8,Segment Orientation - Quat,L3 q0,L3,q0,Segment Orientation Quaternion - L3 q0
orientation_9,Segment Orientation - Quat,L3 q1,L3,q1,Segment Orientation Quaternion - L3 q1
orientation_10,Segment Orientation - Quat,L3 q2,L3,q2,Segment Orientation Quaternion - L3 q2
orientation_11,Segment Orientation - Quat,L3 q3,L3,q3,Segment Orientation Quaternion - L3 q3
orientation_12,Segment Orientation - Quat,T12 q0,T12,q0,Segment Orientation Quaternion - T12 q0
orientation_13,Segment Orientation - Quat,T12 q1,T12,q1,Segment Orientation Quaternion - T12 q1
orientation_14,Segment Orientation - Quat,T12 q2,T12,q2,Segment Orientation Quaternion - T12 q2
orientation_15,Segment Orientation - Quat,T12 q3,T12,q3,Segment Orientation Quaternion - T12 q3
orientation_16,Segment Orientation - Quat,T8 q0,T8,q0,Segment Orientation Quaternion - T8 q0
orientation_17,Segment Orientation - Quat,T8 q1,T8,q1,Segment Orientation Quaternion - T8 q1
orientation_18,Segment Orientation - Quat,T8 q2,T8,q2,Segment Orientation Quaternion - T8 q2
orientation_19,Segment Orientation - Quat,T8 q3,T8,q3,Segment Orientation Quaternion - T8 q3
orientation_20,Segment Orientation - Quat,Neck q0,Neck,q0,Segment Orientation Quaternion - Neck q0
orientation_21,Segment Orientation - Quat,Neck q1,Neck,q1,Segment Orientation Quaternion - Neck q1
orientation_22,Segment Orientation - Quat,Neck q2,Neck,q2,Segment Orientation Quaternion - Neck q2
orientation_23,Segment Orientation - Quat,Neck q3,Neck,q3,Segment Orientation Quaternion - Neck q3
orientation_24,Segment Orientation - Quat,Head q0,Head,q0,Segment Orientation Quaternion - Head q0
orientation_25,Segment Orientation - Quat,Head q1,Head,q1,Segment Orientation Quaternion - Head q1
orientation_26,Segment Orientation - Quat,Head q2,Head,q2,Segment Orientation Quaternion - Head q2
orientation_27,Segment Orientation - Quat,Head q3,Head,q3,Segment Orientation Quaternion - Head q3
orientation_28,Segment Orientation - Quat,Right Shoulder q0,Right Shoulder,q0,Segment Orientation Quaternion - Right Shoulder q0
orientation_29,Segment Orientation - Quat,Right Shoulder q1,Right Shoulder,q1,Segment Orientation Quaternion - Right Shoulder q1
orientation_30,Segment Orientation - Quat,Right Shoulder q2,Right Shoulder,q2,Segment Orientation Quaternion - Right Shoulder q2
orientation_31,Segment Orientation - Quat,Right Shoulder q3,Right Shoulder,q3,Segment Orientation Quaternion - Right Shoulder q3
