feature,r_is_ACLD,p_is_ACLD,sig_is_ACLD,r_is_ACLR,p_is_ACLR,sig_is_ACLR,r_is_Healthy,p_is_Healthy,sig_is_Healthy
hip_flexion_injured,0.1292,0.2596,ns,-0.0754,0.5117,ns,-0.0555,0.6292,ns
hip_adduction_injured,-0.0922,0.4221,ns,0.0277,0.8097,ns,0.066,0.566,ns
knee_flexion_injured,-0.0179,0.8762,ns,0.0973,0.3967,ns,-0.08,0.4862,ns
knee_adduction_injured,-0.0322,0.7799,ns,-0.0674,0.5578,ns,0.1008,0.3797,ns
knee_int_rotation_injured,0.1914,0.0932,ns,-0.2815,0.0125,*,0.0892,0.4374,ns
ankle_dorsiflexion_injured,-0.1303,0.2557,ns,-0.033,0.7745,ns,0.1661,0.1462,ns
hip_flexion_contralateral,0.1054,0.3586,ns,-0.1138,0.3212,ns,0.0075,0.9477,ns
knee_flexion_contralateral,-0.0015,0.9898,ns,-0.1731,0.1297,ns,0.1763,0.1225,ns
ankle_dorsiflexion_contralateral,-0.0918,0.424,ns,0.1789,0.1171,ns,-0.0871,0.4483,ns
hip_flexion_LSI,0.0711,0.5359,ns,0.1005,0.3815,ns,-0.174,0.1276,ns
knee_flexion_LSI,-0.0604,0.5991,ns,0.3093,0.0059,**,-0.2508,0.0268,*
ankle_dorsiflexion_LSI,0.0068,0.9531,ns,-0.1748,0.1259,ns,0.1696,0.1376,ns
gait_speed_mps,-0.1563,0.1718,ns,-0.2696,0.017,*,0.4317,0.0001,***
cadence_spm,-0.1729,0.1301,ns,-0.3117,0.0055,**,0.4911,0.0,***
stride_length_mean_m,-0.0761,0.5078,ns,-0.0773,0.5014,ns,0.1556,0.1737,ns
step_width_mean_m_orth,0.1605,0.1604,ns,0.1982,0.082,ns,-0.3638,0.0011,**
double_support_pct,0.1151,0.3157,ns,-0.015,0.8965,ns,-0.1022,0.3733,ns
single_support_L_pct,0.3028,0.007,**,-0.2281,0.0445,*,-0.0782,0.4961,ns
single_support_R_pct,0.1513,0.186,ns,-0.226,0.0466,*,0.074,0.5195,ns
