feature,shapiro_normal,levene_equal_var,model,p_group_main,p_interaction,effect_metric,effect_size,tukey_p_ACLD_vs_ACLR,tukey_p_ACLD_vs_Healthy,tukey_p_ACLR_vs_Healthy,dunn_p_ACLD_vs_ACLR,dunn_p_ACLD_vs_Healthy,dunn_p_ACLR_vs_Healthy
hip_flexion_injured,True,True,LMM,0.0,0.48,partial_eta_sq,0.0151,0.207,0.2783,0.9874,,,
hip_adduction_injured,False,True,Kruskal-Wallis,0.3631,,epsilon_sq,0.0001,,,,0.8871,0.54,1.0
knee_flexion_injured,False,True,Kruskal-Wallis,0.4067,,epsilon_sq,-0.0009,,,,1.0,1.0,0.5324
knee_adduction_injured,False,True,Kruskal-Wallis,0.5446,,epsilon_sq,-0.0034,,,,1.0,1.0,0.7577
knee_int_rotation_injured,False,True,Kruskal-Wallis,0.0015,,epsilon_sq,0.0478,,,,0.0025,1.0,0.0146
ankle_dorsiflexion_injured,False,False,Kruskal-Wallis,0.0432,,epsilon_sq,0.0185,,,,0.8824,0.0387,0.4345
hip_flexion_contralateral,False,True,Kruskal-Wallis,0.0547,,epsilon_sq,0.0165,,,,0.0864,1.0,0.171
knee_flexion_contralateral,False,True,Kruskal-Wallis,0.002,,epsilon_sq,0.0452,,,,0.3694,0.1704,0.001
ankle_dorsiflexion_contralateral,False,True,Kruskal-Wallis,0.0952,,epsilon_sq,0.0117,,,,0.1166,1.0,0.3237
hip_flexion_LSI,False,True,Kruskal-Wallis,0.2484,,epsilon_sq,0.0034,,,,1.0,1.0,0.2893
knee_flexion_LSI,False,False,Kruskal-Wallis,0.0003,,epsilon_sq,0.0617,,,,0.1604,0.0476,0.0003
ankle_dorsiflexion_LSI,False,True,Kruskal-Wallis,0.0053,,epsilon_sq,0.0367,,,,0.7305,0.1285,0.0038
gait_speed_mps,False,True,Kruskal-Wallis,0.0886,,epsilon_sq,0.0123,,,,1.0,0.2302,0.1218
cadence_spm,True,False,Kruskal-Wallis,0.0062,,epsilon_sq,0.0353,,,,1.0,0.0462,0.007
stride_length_mean_m,True,True,LMM,0.0,0.0435,partial_eta_sq,0.006,0.9999,0.5604,0.5573,,,
step_width_mean_m_orth,False,True,Kruskal-Wallis,0.0,,epsilon_sq,0.1311,,,,1.0,0.0,0.0
double_support_pct,False,True,Kruskal-Wallis,0.7685,,epsilon_sq,-0.0064,,,,1.0,1.0,1.0
single_support_L_pct,False,False,Kruskal-Wallis,0.0014,,epsilon_sq,0.0483,,,,0.0029,0.014,1.0
single_support_R_pct,False,True,Kruskal-Wallis,0.0543,,epsilon_sq,0.0166,,,,0.0612,1.0,0.2256
